## Integrated nanoparticle-CM interaction
## Rc=10 A

GOLD-NP
N  1499 R 10.01 24.99

1 10.010000 91560937481604218880.000000 30971327893595750400.000000000000000 
2 10.020000 713623197811378816.000000 241319975359507200.000000000000000 
3 10.030000 41667695286673944.000000 14086355790707200.000000000000000 
4 10.040000 5548790042279749.000000 1875307414796100.000000000000000 
5 10.050000 1160910674765023.750000 392236614979562.500000000000000 
6 10.060000 323222302971805.812500 109175689059093.750000000000000 
7 10.070000 109608861043598.296875 37012270305558.593750000000000 
8 10.080000 42941236111339.242188 14496066972609.765625000000000 
9 10.090000 18783651583800.191406 6339155419630.273437500000000 
10 10.100000 8962958017339.275391 3023977917946.582031250000000 
11 10.110000 4588565874019.017578 1547676716296.923828125000000 
12 10.120000 2489614368033.317383 839482278136.401367187500000 
13 10.130000 1418316015272.812988 478111047038.183593750000000 
14 10.140000 842280068472.316040 283849912738.421630859375000 
15 10.150000 518430915401.793030 174662532207.846069335937500 
16 10.160000 329205732428.986572 110879949223.666381835937500 
17 10.170000 214853785839.344208 72344506702.926635742187500 
18 10.180000 143666908714.056427 48361121869.773864746093750 
19 10.190000 98167680192.426788 33035841262.184143066406250 
20 10.200000 68393345242.680862 23009546743.474197387695312 
21 10.210000 48491929211.568787 16309521063.048171997070312 
22 10.220000 34932293265.973351 11745635649.672698974609375 
23 10.230000 25531302794.621250 8582231794.643974304199219 
24 10.240000 18909137872.505802 6354435620.174598693847656 
25 10.250000 14175995871.426189 4762521853.795051574707031 
26 10.260000 10747415692.455029 3609655498.927211761474609 
27 10.270000 8232952366.737123 2764367470.671129226684570 
28 10.280000 6367674068.343977 2137467984.243631362915039 
29 10.290000 4969203434.867119 1667571064.734649658203125 
30 10.300000 3910302166.616705 1311858020.310473442077637 
31 10.310000 3101088826.489191 1040087379.286670684814453 
32 10.320000 2477329630.438317 830651176.956892013549805 
33 10.330000 1992619006.328587 667941746.389877796173096 
34 10.340000 1613088701.946927 540570281.293106079101562 
35 10.350000 1313783481.511719 440146728.310680389404297 
36 10.360000 1076149622.085457 360434431.359744071960449 
37 10.370000 886275542.946196 296758031.579393148422241 
38 10.380000 733646654.633671 245584488.665860891342163 
39 10.390000 610255588.821839 204223730.427879095077515 
40 10.400000 509960552.441586 170612813.886365294456482 
41 10.410000 428018599.751783 143158950.319394469261169 
42 10.420000 360743346.869764 120624402.076089382171631 
43 10.430000 305251989.712312 102041423.444175720214844 
44 10.440000 259276938.569310 86648937.166124582290649 
45 10.450000 221024574.582788 73845059.484140574932098 
46 10.460000 189068627.381404 63151267.666076123714447 
47 10.470000 162269170.983135 54185181.268924474716187 
48 10.480000 139710705.353673 46639759.735186398029327 
49 10.490000 120654549.377669 40267310.600486397743225 
50 10.500000 104502032.085756 34867126.888247579336166 
51 10.510000 90765879.953949 30275878.730201721191406 
52 10.520000 79047860.705438 26360107.135538011789322 
53 10.530000 69021229.202018 23010331.004408746957779 
54 10.540000 60416878.495458 20136398.698841780424118 
55 10.550000 53012364.122863 17663804.594401270151138 
56 10.560000 46623167.344162 15530757.474819943308830 
57 10.570000 41095711.205415 13685837.446643412113190 
58 10.580000 36301755.034010 12086115.603433921933174 
59 10.590000 32133877.642667 10695639.125421456992626 
60 10.600000 28501824.010946 9484206.172382831573486 
61 10.610000 25329539.572886 8426371.512472629547119 
62 10.620000 22552754.194431 7500636.581022664904594 
63 10.630000 20117007.241330 6688787.511456944048405 
64 10.640000 17976027.881867 5975352.319518104195595 
65 10.650000 16090402.487224 5347154.372484050691128 
66 10.660000 14426474.852107 4792943.929106835275888 
67 10.670000 12955435.842569 4303093.190446309745312 
68 10.680000 11652567.658114 3869343.182222079485655 
69 10.690000 10496614.684012 3484593.068146612495184 
70 10.700000 9469258.300517 3142724.302983470261097 
71 10.710000 8554677.311126 2838453.475590329617262 
72 10.720000 7739179.086267 2567208.844569837674499 
73 10.730000 7010889.273506 2325026.493357587605715 
74 10.740000 6359490.141967 2108462.775186914950609 
75 10.750000 5775999.417851 1914520.318500883877277 
76 10.760000 5252582.916354 1740585.349169746041298 
77 10.770000 4782395.451403 1584374.480258766561747 
78 10.780000 4359445.462175 1443889.441177202388644 
79 10.790000 3978479.577261 1317378.480168641544878 
80 10.800000 3634883.977426 1203303.388677258044481 
81 10.810000 3324599.943322 1100311.272229976020753 
82 10.820000 3044051.406872 1007210.337380366399884 
83 10.830000 2790082.681734 922949.083777749910951 
84 10.840000 2559904.843201 846598.389258072711527 
85 10.850000 2351049.472385 777336.057759309187531 
86 10.860000 2161328.682664 714433.467905479483306 
87 10.870000 1988800.515505 657244.016755977645516 
88 10.880000 1831738.933907 605193.100482237059623 
89 10.890000 1688607.759771 557769.413260987494141 
90 10.900000 1558038.000384 514517.378790583461523 
91 10.910000 1438808.092316 475030.556645663455129 
92 10.920000 1329826.660860 438945.889079885091633 
93 10.930000 1230117.452132 405938.673606503289193 
94 10.940000 1138806.144654 375718.163342680782080 
95 10.950000 1055108.789415 348023.711194458883256 
96 10.960000 978321.663053 322621.385905193164945 
97 10.970000 907812.349175 299300.998134119436145 
98 10.980000 843011.888588 277873.483359953388572 
99 10.990000 783407.861223 258168.595757416915148 
100 11.000000 728538.281288 240032.873469899641350 
101 11.010000 677986.203239 223327.841066499240696 
102 11.020000 631374.949891 207928.419566451339051 
103 11.030000 588363.885785 193721.518352982820943 
104 11.040000 548644.669045 180604.786683741258457 
105 11.050000 511937.923683 168485.505416020168923 
106 11.060000 477990.281797 157279.602072926354595 
107 11.070000 446571.751595 146910.774541003047489 
